전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,수정전국매출액,개봉일관객수,개봉일매출액,개봉일매출비율,배우가중치,감독가중치,영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,타겟
611,3584176950000000000,4786259,10712744000.0,1363857,358.417695,97036.0,695551500.0,26.4,0.9,0.15,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,1.0,코미디,2,0.0,1.0,1,0
1476,4051427653800000000,4779501,7782799628.0,891383,405.14276538,333867.0,2641100940.0,36.2,1.05,0.15,봉오동 전투,2019-08-07,1.0,기타,1,0.0,1.0,1,0
1936,4151897743000000000,4743184,11620751790.0,1218042,415.1897743,304793.0,2644522480.0,63.6,0.15,0.15,라이온 킹,2019-07-17,0.0,기타,3,1.0,0.0,1,0
699,3647914750000000000,4710454,11716858500.0,1451900,364.791475,166041.0,1235533500.0,45.0,2.05,0.15,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,1.0,범죄,0,0.0,1.0,1,1
661,3707744404200000000,4703245,12142771642.0,1465960,370.77444042,35604.0,261052300.0,6.4,0.15,0.1,주토피아,2016-02-17,0.0,애니메이션,3,1.0,0.0,1,0
801,3870394220100000000,4697142,12201872401.0,1401887,387.03942201,377160.0,3201954200.0,37.3,0.85,0.1,엣지 오브 투모로우,2014-06-04,0.0,액션,2,1.0,0.0,1,1
671,3488133090500000000,4682492,11114978905.0,1435648,348.81330905,168935.0,1182807000.0,34.5,1.7,0.2,신세계,2013-02-21,1.0,범죄,0,0.0,1.0,1,1
1431,3933726305800000000,4666993,12640487458.0,1425528,393.37263058,242775.0,1975369400.0,57.0,0.45,0.25,신비한 동물사전,2016-11-16,0.0,기타,2,1.0,0.0,1,0
644,3556685480000000000,4662822,10141606500.0,1267508,355.668548,136094.0,1001031500.0,54.8,0.55,0.15,도가니,2011-09-22,1.0,드라마,0,0.0,1.0,1,0
563,3422216050000000000,4598583,11547286500.0,1475165,342.221605,87798.0,626300000.0,25.7,1.3,0.2,내 아내의 모든 것,2012-05-17,1.0,코미디,1,0.0,1.0,1,0
1511,3956019512400000000,4573902,8008441184.0,905239,395.60195124,244335.0,1970875550.0,34.9,0.9,0.1,나쁜 녀석들: 더 무비,2019-09-11,1.0,범죄,1,0.0,1.0,1,0
1166,3596573306400000000,4571142,7213559964.0,880999,359.65733064,154652.0,1138891200.0,42.4,0.45,0.1,판도라,2016-12-07,1.0,드라마,2,0.0,1.0,1,0
759,3215476666400000000,4513026,7819583000.0,1040068,321.54766664,191274.0,1340818500.0,40.8,0.85,0.1,연가시,2012-07-05,1.0,기타,1,0.0,1.0,1,1
757,3316194310000000000,4498335,10697867500.0,1370291,331.619431,248798.0,1822957000.0,65.3,0.6,0.15,아이언맨 2,2010-04-29,0.0,기타,2,0.0,1.0,1,1
1426,3547791246600000000,4451336,8694723516.0,1060541,354.77912466,236952.0,1711379500.0,48.7,1.0,0.1,강철비,2017-12-14,1.0,액션,1,0.0,1.0,1,0
757,3450781900000000000,4400298,11183806000.0,1361311,345.07819,229946.0,1813241000.0,55.9,0.4,0.25,해리포터와 죽음의 성물2,2011-07-13,0.0,기타,3,1.0,0.0,1,1
1056,3465455876600000000,4313871,11315080666.0,1345720,346.54558766,213000.0,1676575600.0,60.7,1.05,0.2,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,0.0,액션,2,1.0,0.0,1,0
1171,3511433279100000000,4277071,10881501871.0,1283972,351.14332791,290024.0,2200581820.0,60.6,1.15,0.1,아가씨,2016-06-01,1.0,기타,0,0.0,1.0,1,0
1312,3486905680000000000,4168350,10562832700.0,1187974,348.690568,192229.0,1611578700.0,77.4,0.45,0.1,어메이징 스파이더맨 2,2014-04-23,0.0,액션,2,1.0,0.0,1,1
807,3003716100000000000,4131248,7563772000.0,997760,300.37161,334061.0,2327993000.0,29.7,0.85,0.15,용의자,2013-12-24,1.0,액션,1,0.0,1.0,1,0
593,3021980050000000000,4110645,11003948000.0,1431173,302.198005,66580.0,473831500.0,31.4,0.55,0.05,건축학개론,2012-03-22,1.0,멜로/로맨스,2,0.0,1.0,1,0
534,3012925950000000000,4057546,8223006000.0,1055086,301.292595,46500.0,337564000.0,17.6,1.1,0.15,댄싱퀸,2012-01-18,1.0,코미디,2,0.0,1.0,1,0
1314,3131356879500000000,4018341,7524464445.0,931901,313.13568795,213172.0,1564888600.0,62.1,0.8,0.05,꾼,2017-11-22,1.0,범죄,1,0.0,1.0,1,1
922,3150979309500000000,4002134,9067860195.0,1095630,315.09793095,201723.0,1547783900.0,45.8,0.55,0.1,혹성탈출: 반격의 서막,2014-07-10,0.0,액션,2,1.0,0.0,1,1
890,3226724482700000000,4001813,8495857527.0,1016403,322.67244827,201749.0,1533302500.0,32.7,0.65,0.15,타짜-신의 손,2014-09-03,1.0,드라마,0,0.0,1.0,1,1
1365,3134079815600000000,3984812,8695148256.0,1045418,313.40798156,222044.0,1658416200.0,60.3,0.65,0.1,쿵푸팬더3,2016-01-28,0.0,애니메이션,3,0.0,1.0,1,0
1106,3171058538500000000,3963220,10405400885.0,1237982,317.10585385,166787.0,1173000000.0,53.6,1.3,0.05,캡틴 아메리카: 윈터 솔져,2014-03-26,0.0,액션,1,1.0,0.0,1,0
599,2834398656900000000,3893216,6808915069.0,894127,283.43986569,106959.0,759123500.0,25.7,0.7,0.05,박수건달,2013-01-09,1.0,코미디,1,0.0,1.0,1,1
1308,3410021120700000000,3888096,9452036857.0,1026909,341.00211207,740661.0,6536664400.0,49.6,0.45,0.05,베놈,2018-10-03,0.0,액션,1,1.0,0.0,1,1
811,3045687942800000000,3872015,6908501928.0,845522,304.56879428,113443.0,853823300.0,34.3,1.15,0.15,조선명탐정 : 사라진 놉의 딸,2015-02-11,1.0,기타,2,0.0,1.0,1,1
1054,2989329789000000000,3849433,8426821290.0,1044988,298.9329789,287855.0,1933393300.0,53.4,1.1,0.1,역린,2014-04-30,1.0,기타,1,0.0,1.0,1,1
799,3290636446200000000,3842441,11443176062.0,1271954,329.06364462,89736.0,766408900.0,32.7,0.65,0.05,매드 맥스: 분노의 도로,2015-05-14,0.0,액션,1,1.0,0.0,1,0
1229,3106732199200000000,3829891,7375553392.0,889444,310.67321992,444585.0,3669119900.0,39.1,1.3,0.15,남한산성,2017-10-03,1.0,기타,1,0.0,1.0,1,0
1576,3418566463900000000,3784602,10757126939.0,1145250,341.85664639,356445.0,3042723300.0,79.8,0.6,0.1,데드풀 2,2018-05-16,0.0,액션,0,1.0,0.0,1,0
1177,3285589554800000000,3772620,7777232448.0,862386,328.55895548,439309.0,3864284950.0,29.3,1.15,0.1,암수살인,2018-10-03,1.0,범죄,1,0.0,1.0,1,0
1180,3089176583700000000,3754983,7993870137.0,937443,308.91765837,301330.0,1800650600.0,39.9,0.65,0.1,국가부도의 날,2018-11-28,1.0,드라마,2,0.0,1.0,1,0
1257,3050468997800000000,3689325,7851059428.0,909202,305.04689978,873117.0,6929271100.0,58.7,0.65,0.05,미이라,2017-06-06,0.0,액션,1,1.0,0.0,1,1
1486,3029854231000000000,3678156,8396050370.0,994663,302.9854231,138761.0,1105980170.0,48.3,0.7,0.05,82년생 김지영,2019-10-23,1.0,드라마,2,0.0,1.0,1,1
1311,3224176779300000000,3657536,7717831533.0,839251,322.41767793,351556.0,2935002750.0,42.5,1.05,0.1,분노의 질주: 홉스&쇼,2019-08-14,0.0,액션,2,1.0,0.0,1,0
1469,2998115634800000000,3653238,7936210998.0,932027,299.81156348,208481.0,1620818400.0,67.3,1.15,0.1,분노의 질주: 더 익스트림,2017-04-12,0.0,액션,1,1.0,0.0,1,1
947,2924886715600000000,3637122,9352306256.0,1124392,292.48867156,138028.0,1032712400.0,24.8,0.25,0.1,너의 이름은.,2017-01-04,0.0,애니메이션,2,0.0,0.0,0,1
496,2851844314800000000,3610642,10024307548.0,1228273,285.18443148,50009.0,382655000.0,12.8,0.6,0.05,인턴,2015-09-24,0.0,코미디,2,1.0,0.0,1,1
727,3000684469400000000,3597193,13131083194.0,1536629,300.06844694,62258.0,499764900.0,18.6,0.45,0.15,라라랜드,2016-12-07,0.0,드라마,2,0.0,0.0,1,0
876,2724505199000000000,3586523,6310471892.0,801788,272.4505199,158174.0,962008400.0,23.1,0.15,0.05,귀향,2016-02-24,1.0,드라마,1,0.0,0.0,0,0
603,2656667700000000000,3579666,8578776500.0,1090591,265.66677,63863.0,474694000.0,28.0,0.4,0.1,리얼 스틸,2011-10-12,0.0,액션,2,1.0,0.0,1,1
794,2877771225600000000,3562123,8104315156.0,965372,287.77712256,181459.0,1390445200.0,43.6,0.9,0.1,신의 한 수,2014-07-03,1.0,범죄,0,0.0,1.0,1,1
1177,2768547944000000000,3510017,8547812240.0,1024250,276.8547944,106921.0,801853900.0,20.5,0.2,0.1,코코,2018-01-11,0.0,애니메이션,3,1.0,0.0,1,1
453,2587811050000000000,3450941,7619815000.0,972059,258.781105,30872.0,222597500.0,11.6,0.45,0.15,부러진 화살,2012-01-18,1.0,드라마,1,0.0,1.0,1,0
645,2700600790000000000,3450143,7567987400.0,927324,270.060079,79698.0,590812000.0,24.6,1.3,0.2,끝까지 간다,2014-05-29,1.0,액션,1,0.0,1.0,1,0
213,2709667306100000000,3427464,10856208161.0,1324469,270.96673061,12032.0,89722200.0,1.4,0.65,0.1,비긴 어게인,2014-08-13,0.0,멜로/로맨스,1,0.0,0.0,1,1
785,2443642930500000000,3423920,5483475805.0,733029,244.36429305,133131.0,894351000.0,46.4,0.9,0.05,스파이(한),2013-09-05,1.0,액션,1,0.0,1.0,1,0
862,2744121338200000000,3417629,6258257482.0,759455,274.41213382,126797.0,964523300.0,19.9,1.15,0.05,그것만이 내 세상,2018-01-17,1.0,코미디,2,0.0,1.0,1,1
