,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
148,이끼,2010-07-14,1.0,736,25856306126,3408144,8251736000.0,1044532,드라마,0,1,2010,21.6,0.0,1.0,1,136515.0,1003541500.0,45.8,1,20100209
149,토이 스토리 4,2019-06-20,0.0,1336,28757726040,3399913,9071405870.0,1009214,애니메이션,3,1,2019,29.0,1.0,0.0,1,141837.0,1230056240.0,30.2,0,20184047
150,돈,2019-03-20,1.0,1431,28869614062,3389035,7287586982.0,833513,범죄,1,1,2019,29.0,0.0,1.0,1,165833.0,1369138680.0,54.4,1,20176103
151,포화속으로,2010-06-16,1.0,736,24217600897,3385706,6203066000.0,822965,드라마,2,1,2010,21.6,0.0,1.0,1,126749.0,899784500.0,45.0,1,20100296
152,맨 인 블랙 3,2012-05-24,0.0,770,27301520070,3379762,9258393070.0,1068672,액션,2,1,2012,20.3,1.0,0.0,1,141261.0,1198527000.0,48.4,1,20113885
153,어바웃 타임,2013-12-05,0.0,568,24867023000,3375735,10488833000.0,1368822,멜로/로맨스,1,1,2013,21.4,1.0,0.0,1,66278.0,448313500.0,24.3,0,20135428
154,악인전,2019-05-15,1.0,1307,29128292150,3364079,6407047240.0,722563,범죄,0,1,2019,29.0,0.0,0.0,0,175397.0,1444258970.0,47.1,0,20188941
155,슈퍼배드 3,2017-07-26,0.0,1057,24216987019,3324861,5558252919.0,723552,애니메이션,3,1,2017,26.3,1.0,0.0,1,195774.0,1210810000.0,14.1,0,20173403
156,데드풀,2016-02-17,0.0,1036,27595618651,3317196,9150924002.0,1062535,액션,0,1,2016,24.0,1.0,0.0,1,252018.0,2019314800.0,49.1,1,20153781
157,아이 캔 스피크,2017-09-21,1.0,1140,25532214986,3280243,6409220686.0,796658,코미디,2,1,2017,26.3,0.0,1.0,1,87136.0,634048900.0,39.6,1,20174142
158,스타워즈: 깨어난 포스,2015-12-17,0.0,940,28353796331,3273879,9631617574.0,1047074,액션,2,1,2015,19.9,1.0,0.0,1,167315.0,1451624000.0,34.9,1,20154141
159,분노의 질주: 더 세븐,2015-04-01,0.0,983,26449334694,3247558,7328474894.0,864171,액션,1,1,2015,19.9,1.0,0.0,1,135549.0,1065238700.0,40.6,1,20143580
160,터미네이터 제니시스,2015-07-02,0.0,1113,26546725129,3239371,7364611329.0,852065,액션,1,1,2015,19.9,0.0,1.0,1,253699.0,2056310900.0,50.8,0,20141384
161,그래비티,2013-10-17,0.0,636,31484135600,3227452,14128973600.0,1311034,SF,2,1,2013,21.4,1.0,0.0,1,110996.0,1011294000.0,42.7,1,20139221
162,마녀,2018-06-27,1.0,1117,27242029463,3189091,6459959863.0,732154,미스터리,1,1,2018,26.8,1.0,0.0,1,121990.0,738666200.0,26.5,1,20185341
163,탐정: 리턴즈,2018-06-13,1.0,1041,26865721678,3148038,5989673378.0,680077,코미디,1,1,2018,26.8,0.0,1.0,1,235184.0,2043182700.0,23.3,1,20178161
164,캐리비안의 해적: 낯선 조류,2011-05-19,0.0,960,27279967500,3130046,8991119500.0,977452,액션,2,1,2011,22.7,1.0,0.0,1,182947.0,1711807000.0,67.3,1,20110294
165,퀵,2011-07-20,1.0,512,22960890000,3125069,5353417500.0,692405,코미디,1,1,2011,22.7,0.0,1.0,1,65763.0,475927500.0,17.2,1,20110290
166,감기,2013-08-14,1.0,806,21784202000,3119023,4692878000.0,638882,드라마,1,1,2013,21.4,0.0,0.0,0,304661.0,2012379500.0,29.3,0,20124937
167,나우 유 씨 미 2,2016-07-13,0.0,1200,25116690113,3100113,7162588413.0,850601,범죄,2,1,2016,24.0,0.0,1.0,1,196279.0,1488003800.0,46.5,1,20150203
168,하모니,2010-01-28,1.0,405,21992266198,3068544,5451128000.0,718993,드라마,2,1,2010,21.6,0.0,1.0,1,97029.0,675408500.0,24.0,1,20090914
169,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,0.0,1357,24975495122,3049894,7206844722.0,839897,액션,2,1,2017,26.3,1.0,0.0,1,206541.0,1614550800.0,58.4,1,20170982
170,스물,2015-03-25,1.0,926,23558988686,3044134,5990587486.0,740243,코미디,1,1,2015,19.9,0.0,1.0,1,151161.0,981625100.0,45.6,1,20148845
171,토르: 다크 월드,2013-10-30,0.0,733,22525808500,3039889,6890911500.0,885699,액션,2,1,2013,21.4,1.0,0.0,1,114775.0,818198500.0,33.3,0,20138355
172,방자전,2010-06-02,1.0,512,22853629794,3035116,7700850000.0,975688,사극,0,1,2010,21.6,0.0,1.0,1,171439.0,1341492000.0,20.4,0,20090927
173,인크레더블 2,2018-07-18,0.0,1605,24554683588,3033052,7611573288.0,880527,애니메이션,3,1,2018,26.8,1.0,0.0,1,122594.0,1006229800.0,35.8,0,20183361
174,레드: 더 레전드,2013-07-18,0.0,739,21511358970,3004647,6308770970.0,841287,액션,1,1,2013,21.4,0.0,1.0,1,131462.0,878807500.0,30.4,0,20136962
175,오싹한 연애,2011-12-01,1.0,469,21965313000,3001530,6146203500.0,797727,공포(호러),2,1,2011,22.7,0.0,1.0,1,60615.0,426782500.0,23.3,0,20113381
176,드래곤 길들이기 2,2014-07-23,0.0,829,23979935189,3000056,6564340689.0,751931,애니메이션,3,1,2014,20.1,0.0,1.0,1,72041.0,607293700.0,11.1,1,20131248
177,형,2016-11-23,1.0,993,23129111893,2982022,5484309343.0,675698,코미디,2,1,2016,24.0,0.0,1.0,1,75882.0,574152500.0,25.1,1,20154661
178,친구 2,2013-11-14,1.0,968,21804687513,2971475,5171825013.0,675887,액션,0,1,2013,21.4,0.0,1.0,1,304184.0,2110674500.0,62.5,1,20137044
179,26년,2012-11-29,1.0,604,21241327145,2963449,6121058611.0,817210,액션,1,1,2012,20.3,0.0,0.0,0,113921.0,778793500.0,31.5,0,20088506
180,서치,2018-08-29,0.0,816,25283364845,2949944,8341418045.0,945989,드라마,2,1,2018,26.8,1.0,0.0,1,61992.0,373410100.0,10.7,0,20185046
181,고지전,2011-07-20,1.0,585,21968557600,2945137,6379632100.0,817904,드라마,1,1,2011,22.7,0.0,1.0,1,98066.0,709864100.0,25.7,1,20119515
182,엑스맨: 아포칼립스,2016-05-25,0.0,1262,24467887950,2938818,7495864450.0,847621,액션,2,1,2016,24.0,1.0,0.0,1,298816.0,1944957700.0,57.0,0,20150523
183,프리즌,2017-03-23,1.0,1047,23790276987,2931897,5681060637.0,679455,범죄,0,1,2017,26.3,0.0,1.0,1,168336.0,1257773300.0,47.0,1,20162181
184,솔트,2010-07-29,0.0,556,21719123025,2921331,6529156500.0,837532,스릴러,1,1,2010,21.6,1.0,0.0,1,162930.0,1187952500.0,29.2,0,20100370
185,가장 보통의 연애,2019-10-02,1.0,1073,24822316930,2917213,6614922790.0,753953,멜로/로맨스,1,1,2019,29.0,0.0,1.0,1,145572.0,1152655840.0,22.7,1,20195920
186,헬로우 고스트,2010-12-22,1.0,472,21154651779,2897477,6343048000.0,823854,코미디,2,1,2010,21.6,0.0,1.0,1,58487.0,404683000.0,17.2,1,20101223
187,극비수사,2015-06-18,1.0,894,22389535897,2860786,5828885297.0,717981,드라마,1,1,2015,19.9,0.0,1.0,1,181737.0,1380352500.0,42.9,0,20148855
188,표적,2014-04-30,1.0,665,22256359300,2841788,5348606900.0,652750,액션,1,1,2014,20.1,0.0,1.0,1,105838.0,713159400.0,19.7,0,20139164
189,앤트맨,2015-09-03,0.0,949,23502249937,2839921,7332839937.0,840337,액션,2,1,2015,19.9,1.0,0.0,1,174587.0,1435679500.0,43.7,1,20155702
190,호빗: 다섯 군대 전투,2014-12-17,0.0,926,24268487685,2836774,7327248685.0,809402,어드벤처,2,1,2014,20.1,1.0,0.0,1,188655.0,1572116300.0,36.0,0,20140226
191,너의 결혼식,2018-08-22,1.0,962,23670604369,2820029,5852853319.0,666845,멜로/로맨스,2,1,2018,26.8,0.0,0.0,0,99411.0,794659400.0,22.0,1,20153446
192,호빗: 뜻밖의 여정,2012-12-13,0.0,1028,23436820716,2818993,8241919216.0,910976,어드벤처,2,1,2012,20.3,1.0,0.0,1,158070.0,1283006500.0,45.1,1,20125048
193,말모이,2019-01-09,1.0,1203,23682638520,2812444,5900912990.0,681266,드라마,2,1,2019,29.0,0.0,1.0,1,122458.0,984040250.0,32.4,1,20184105
194,메이즈 러너,2014-09-18,0.0,648,21489367677,2812427,6423264777.0,805570,액션,2,1,2014,20.1,1.0,0.0,1,83355.0,613499800.0,29.2,0,20140431
195,해리 포터와 죽음의 성물1,2010-12-15,0.0,718,19906900266,2809053,6430256500.0,866701,미스터리,3,1,2010,21.6,1.0,0.0,1,146503.0,1017240000.0,46.0,0,20101224
196,빅 히어로,2015-01-21,0.0,825,21993119765,2801949,6512949165.0,772249,애니메이션,3,1,2015,19.9,1.0,0.0,1,72487.0,575543100.0,15.4,1,20149951
197,덩케르크,2017-07-20,0.0,1252,24576771848,2792705,9451418198.0,989011,액션,2,1,2017,26.3,1.0,0.0,1,224242.0,1776036300.0,50.4,1,20164621
198,혹성탈출: 진화의 시작,2011-08-17,0.0,514,20629757000,2773794,6637598000.0,849251,액션,2,1,2011,22.7,1.0,0.0,1,116253.0,834112500.0,23.6,0,20110896
199,부당거래,2010-10-28,1.0,502,21326977937,2766436,7587039000.0,944655,범죄,0,1,2010,21.6,0.0,1.0,1,98139.0,719623000.0,48.2,1,20100213
200,메이즈 러너: 스코치 트라이얼,2015-09-16,0.0,804,21596946349,2744413,5743724849.0,697898,액션,2,1,2015,19.9,1.0,0.0,1,111026.0,852420600.0,25.9,0,20150622
201,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,0.0,1218,23452674686,2735719,7669006186.0,854131,액션,2,1,2017,26.3,1.0,0.0,1,422412.0,3708346100.0,36.2,0,20163603
202,시라노; 연애조작단,2010-09-16,1.0,402,20171151599,2731828,7068438000.0,910652,멜로/로맨스,2,1,2010,21.6,0.0,1.0,1,29598.0,210759000.0,11.2,1,20100834
203,내가 살인범이다,2012-11-08,1.0,547,20338948000,2721903,6313599000.0,809580,액션,0,1,2012,20.3,0.0,1.0,1,96151.0,679366500.0,17.7,1,20124075
204,나우 유 씨 미 : 마술사기단,2013-08-22,0.0,691,19146691869,2718227,6322143282.0,855244,범죄,2,1,2013,21.4,0.0,1.0,1,146606.0,991772000.0,26.6,1,20138881
205,미스 페레그린과 이상한 아이들의 집,2016-09-28,0.0,904,21841214586,2718158,6220296286.0,737280,미스터리,2,1,2016,24.0,1.0,0.0,1,80715.0,483198800.0,11.2,0,20164501
206,타이탄,2010-04-01,0.0,694,22143097429,2685508,6821236500.0,798779,액션,2,1,2010,21.6,1.0,0.0,1,148355.0,1232928000.0,69.3,1,20100018
207,곤지암,2018-03-28,1.0,1124,21442114144,2675559,4978152594.0,596536,공포(호러),1,1,2018,26.8,0.0,1.0,1,198365.0,1256715400.0,33.0,1,20180804
208,소원,2013-10-02,1.0,641,18251983100,2663170,3769048600.0,518005,드라마,2,1,2013,21.4,0.0,1.0,1,91705.0,610025500.0,20.8,0,20134582
209,살인자의 기억법,2017-09-06,1.0,1064,21361479492,2656694,5389419142.0,643595,범죄,1,1,2017,26.3,0.0,1.0,1,143580.0,1070193300.0,38.6,0,20154909
210,브레이킹 던 part2,2012-11-15,0.0,665,18909583065,2654817,5571602065.0,745970,드라마,1,1,2012,20.3,0.0,1.0,1,198302.0,1355517000.0,41.3,1,20126469
211,탐정 : 더 비기닝,2015-09-24,1.0,764,20463956973,2625686,4092941173.0,504961,코미디,1,1,2015,19.9,0.0,1.0,1,50533.0,376585300.0,12.6,0,20156557
212,미니언즈,2015-07-29,0.0,792,18997911278,2625572,4787634178.0,630536,애니메이션,3,1,2015,19.9,1.0,0.0,1,193689.0,1296622500.0,20.1,1,20145361
213,후궁 : 제왕의 첩,2012-06-06,1.0,624,19250354500,2621436,5525028500.0,716851,사극,0,1,2012,20.3,0.0,1.0,1,272166.0,2084410000.0,21.4,1,20113533
214,트랜스포머: 최후의 기사,2017-06-21,0.0,1739,21501959228,2614601,5273073728.0,609345,액션,2,1,2017,26.3,0.0,1.0,1,285979.0,2238537300.0,69.7,0,20166967
215,제이슨 본,2016-07-27,0.0,827,21253434663,2611966,6707397843.0,797790,액션,1,1,2016,24.0,1.0,0.0,1,308768.0,2048249740.0,23.6,0,20161907
216,드래곤 길들이기,2010-05-20,0.0,562,27471926367,2603857,9508353500.0,846400,애니메이션,3,1,2010,21.6,1.0,1.0,1,51928.0,559440000.0,23.6,0,20100190
217,지금 만나러 갑니다,2018-03-14,1.0,1163,20800916128,2602273,5390273428.0,652981,멜로/로맨스,2,1,2018,26.8,0.0,1.0,1,89772.0,682198900.0,34.3,1,20170669
218,도리를 찾아서,2016-07-06,0.0,1091,20703899933,2601734,6199961913.0,724706,애니메이션,3,1,2016,24.0,1.0,0.0,1,76938.0,617720600.0,20.0,1,20159058
219,위험한 상견례,2011-03-31,1.0,524,19174920500,2595625,5930105000.0,765417,코미디,2,1,2011,22.7,0.0,1.0,1,64842.0,460557500.0,40.0,1,20119618
220,아수라,2016-09-28,1.0,1278,20576226662,2594028,5577412282.0,676676,범죄,0,1,2016,24.0,0.0,1.0,1,475482.0,2907847000.0,67.4,0,20153443
221,보안관,2017-05-03,1.0,1091,20697532509,2571491,4093422209.0,491530,범죄,1,1,2017,26.3,0.0,1.0,1,206706.0,1707833700.0,16.7,0,20162722
222,기술자들,2014-12-24,1.0,641,19894297783,2564340,4534671083.0,564420,범죄,1,1,2014,20.1,0.0,1.0,1,274404.0,2064901000.0,23.9,0,20149265
223,퍼시픽 림,2013-07-11,0.0,1005,20477392512,2539114,6769401012.0,776183,액션,2,1,2013,21.4,1.0,0.0,1,209975.0,1656025500.0,47.8,1,20136961
224,엑스맨: 퍼스트 클래스,2011-06-02,0.0,587,19063768000,2532306,6847701000.0,870595,액션,2,1,2011,22.7,1.0,0.0,1,98052.0,711646500.0,32.6,0,20110561
225,정글북,2016-06-09,0.0,924,21457807134,2532051,6360280354.0,702113,어드벤처,2,1,2016,24.0,1.0,0.0,1,73355.0,615508100.0,17.4,0,20162967
226,시동,2019-12-18,1.0,1515,21236477800,2525986,4648048780.0,536034,드라마,1,1,2019,29.0,0.0,1.0,1,233340.0,1843357430.0,54.8,1,20198414
227,목격자,2018-08-15,1.0,1021,21732042597,2524086,4600434447.0,514732,스릴러,1,1,2018,26.8,0.0,1.0,1,368981.0,3195156400.0,19.9,1,20170670
228,마이펫의 이중생활,2016-08-03,0.0,726,19379904655,2517805,5360235715.0,656542,애니메이션,3,1,2016,24.0,1.0,0.0,1,182044.0,1298745100.0,11.0,0,20156082
229,증인,2019-02-13,1.0,1047,20312348931,2516128,4478036341.0,547326,드라마,2,1,2019,29.0,0.0,1.0,1,81424.0,633381650.0,20.0,1,20185881
230,조작된 도시,2017-02-09,1.0,1019,20119979587,2512572,4696743687.0,564486,범죄,1,1,2017,26.3,0.0,1.0,1,157669.0,1177376000.0,36.9,0,20150964
231,반창꼬,2012-12-19,1.0,466,17883988787,2471721,4304602748.0,568409,멜로/로맨스,1,1,2012,20.3,0.0,1.0,1,149211.0,1076777000.0,12.7,1,20124399
232,블랙머니,2019-11-13,1.0,1117,20744296510,2464978,5030225390.0,578800,범죄,2,1,2019,29.0,0.0,0.0,0,111652.0,890600310.0,33.5,1,20195002
233,보스 베이비,2017-05-03,0.0,1116,18918869704,2450023,4724943504.0,582820,애니메이션,3,1,2017,26.3,0.0,1.0,1,237463.0,1841294400.0,18.0,0,20174061
234,화차,2012-03-08,1.0,548,18450760000,2435211,6041917500.0,760953,미스터리,1,1,2012,20.3,0.0,0.0,0,74855.0,545624000.0,34.0,0,20124050
235,이웃사람,2012-08-22,1.0,600,18087442369,2434099,5411949754.0,697152,스릴러,0,1,2012,20.3,0.0,1.0,1,140700.0,996867500.0,30.5,1,20125920
236,조선명탐정: 흡혈괴마의 비밀,2018-02-08,1.0,1249,19690818764,2424330,4072581264.0,490363,사극,2,1,2018,26.8,0.0,1.0,1,142796.0,1062967600.0,46.8,1,20179205
237,재심,2017-02-15,1.0,935,19263100637,2420729,4569982837.0,555767,드라마,1,1,2017,26.3,0.0,1.0,1,121122.0,916887400.0,31.1,0,20166421
238,신비한 동물들과 그린델왈드의 범죄,2018-11-14,0.0,1601,20816583118,2414062,6579253518.0,721713,판타지,2,1,2018,26.8,1.0,0.0,1,272339.0,2276842950.0,51.0,1,20176814
239,터미네이터: 다크 페이트,2019-10-30,0.0,1315,20153895830,2409062,5463141420.0,622505,액션,1,1,2019,29.0,1.0,0.0,1,269270.0,1695339390.0,39.7,0,20192083
240,사바하,2019-02-20,1.0,1174,20002183194,2397792,5593443364.0,654182,미스터리,1,1,2019,29.0,0.0,1.0,1,184517.0,1438049010.0,39.3,1,20177539
241,의뢰인,2011-09-29,1.0,522,17797042500,2393086,5652134000.0,719601,스릴러,1,1,2011,22.7,0.0,1.0,1,93065.0,671241500.0,23.5,1,20110613
242,화이: 괴물을 삼킨 아이,2013-10-09,1.0,817,17678676795,2391963,5419118695.0,697799,액션,0,1,2013,21.4,0.0,1.0,1,360280.0,2714221500.0,42.2,1,20123383
243,007 스카이폴,2012-10-26,0.0,748,17487213000,2376145,6160910500.0,793030,액션,1,1,2012,20.3,1.0,0.0,1,201303.0,1506677500.0,48.9,0,20113461
244,가문의 영광4 - 가문의 수난,2011-09-07,1.0,537,17762035500,2363955,4095559500.0,516319,코미디,1,1,2011,22.7,0.0,1.0,1,62553.0,455623500.0,29.9,0,20112272
245,블라인드,2011-08-10,1.0,404,18361430500,2362906,5974758500.0,736580,스릴러,0,1,2011,22.7,0.0,1.0,1,65555.0,486389500.0,14.6,1,20110297
246,박열,2017-06-28,1.0,1176,18093543795,2359174,4921077395.0,623230,드라마,2,1,2017,26.3,0.0,0.0,0,201987.0,1184873200.0,40.1,0,20178982
247,라스트 갓파더,2010-12-29,1.0,547,16832542997,2316099,4836322500.0,633176,코미디,2,1,2010,21.6,0.0,1.0,1,138687.0,987603500.0,30.9,1,20101209
248,스파이(미),2015-05-21,0.0,665,18396836358,2315882,5393002858.0,648385,액션,1,1,2015,19.9,1.0,0.0,1,75330.0,567777900.0,21.8,0,20158621
249,모아나,2017-01-12,0.0,953,18055062307,2310054,4735422707.0,572295,애니메이션,3,1,2017,26.3,1.0,0.0,1,84797.0,612702800.0,19.3,1,20165443
250,테이큰 2,2012-09-27,0.0,682,17581098553,2308596,5503312053.0,692896,액션,0,1,2012,20.3,1.0,0.0,1,182891.0,1288811000.0,44.4,1,20128447
251,하녀,2010-05-13,1.0,577,17310669976,2304487,5832848500.0,740713,스릴러,0,1,2010,21.6,0.0,0.0,0,153013.0,1102302500.0,51.6,0,20100188
252,메이즈 러너: 데스 큐어,2018-01-17,0.0,1090,18902873104,2299732,5015312604.0,582686,액션,2,1,2018,26.8,1.0,0.0,1,225510.0,1752986100.0,36.2,1,20175054
253,맘마미아!2,2018-08-08,0.0,750,19532365003,2285143,6377571153.0,732343,뮤지컬,2,1,2018,26.8,1.0,0.0,1,145931.0,1162055100.0,13.0,1,20181942
254,호빗: 스마우그의 폐허,2013-12-12,0.0,811,17850613316,2282744,3736656816.0,471461,어드벤처,2,1,2013,21.4,1.0,0.0,1,139601.0,1062686500.0,37.6,1,20134267
255,나잇&데이,2010-06-24,0.0,501,17054262425,2282191,6032890000.0,771899,액션,1,1,2010,21.6,1.0,0.0,1,96580.0,697699000.0,35.7,0,20100310
256,컨저링,2013-09-17,0.0,553,16353225777,2262758,4503892277.0,593487,공포(호러),1,1,2013,21.4,1.0,0.0,1,81130.0,549728500.0,12.3,1,20131381
257,슈렉 포에버,2010-07-01,0.0,561,23178925617,2261356,8349179500.0,767056,애니메이션,3,1,2010,21.6,0.0,1.0,1,71648.0,790363500.0,30.4,1,20100333
258,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,0.0,1709,18906246428,2256913,5864824079.0,663637,액션,2,1,2016,24.0,1.0,0.0,1,219794.0,1796011200.0,75.1,0,20152781
259,레디 플레이어 원,2018-03-28,0.0,1079,19933108071,2254430,7259199621.0,763259,액션,2,1,2018,26.8,1.0,0.0,1,149784.0,1005005000.0,26.4,1,20171122
260,배틀쉽,2012-04-11,0.0,736,16545921500,2241687,4666555500.0,597715,SF,2,1,2012,20.3,1.0,0.0,1,387879.0,2837840000.0,39.2,1,20112134
261,셜록홈즈 : 그림자 게임,2011-12-21,0.0,370,16670913500,2239156,6013564500.0,774620,액션,1,1,2011,22.7,1.0,0.0,1,71772.0,507951500.0,15.9,1,20112621
262,7광구,2011-08-04,1.0,812,19314027000,2232179,4908554500.0,528995,SF,1,1,2011,22.7,0.0,1.0,1,201006.0,1882329500.0,35.9,0,20119513
263,타짜: 원 아이드 잭,2019-09-11,1.0,1429,19673441214,2227671,4585277834.0,513548,범죄,0,1,2019,29.0,0.0,1.0,1,332290.0,2693258790.0,47.6,1,20184572
264,마당을 나온 암탉,2011-07-28,1.0,345,14656535500,2199048,3749312000.0,538167,애니메이션,3,1,2011,22.7,0.0,1.0,1,46338.0,302867000.0,8.7,0,20110279
265,악의 연대기,2015-05-14,1.0,776,17360123332,2192243,4131865932.0,498114,스릴러,1,1,2015,19.9,0.0,1.0,1,114540.0,862812600.0,36.8,1,20149569
266,강남 1970,2015-01-21,1.0,841,17717971499,2192172,4859661899.0,586992,액션,0,1,2015,19.9,0.0,1.0,1,152329.0,1184775700.0,31.6,1,20136888
267,이상한 나라의 앨리스,2010-03-04,0.0,401,20661000236,2182365,7781819000.0,760628,판타지,3,1,2010,21.6,1.0,0.0,1,62730.0,645794000.0,46.5,1,20090930
268,맨 오브 스틸,2013-06-13,0.0,998,17092964063,2182227,6028385063.0,720823,SF,2,1,2013,21.4,1.0,0.0,1,178949.0,1380655000.0,51.8,1,20137961
269,황해,2010-12-22,1.0,618,16765970362,2167426,5751617500.0,714591,스릴러,0,1,2010,21.6,1.0,1.0,1,120482.0,888003500.0,37.8,1,20101222
270,원더 우먼,2017-05-31,0.0,1034,17468588886,2165401,5360314986.0,639541,액션,2,1,2017,26.3,1.0,0.0,1,206944.0,1314211200.0,34.9,0,20168261
271,초능력자,2010-11-10,1.0,622,15618440958,2164805,4771902000.0,623616,SF,1,1,2010,21.6,0.0,1.0,1,115986.0,848807500.0,55.4,0,20101010
272,신의 한 수: 귀수편,2019-11-07,1.0,1246,18390955050,2146764,4084690170.0,463426,범죄,1,1,2019,29.0,0.0,1.0,1,176063.0,1401876520.0,48.5,0,20181434
273,마이 웨이,2011-12-21,1.0,645,15994803000,2142622,4281032000.0,548651,전쟁,1,1,2011,22.7,0.0,1.0,1,110253.0,797132000.0,24.9,1,20110295
274,겟 아웃,2017-05-17,0.0,945,17431570075,2138146,5334272375.0,630367,공포(호러),1,1,2017,26.3,1.0,0.0,1,92124.0,703529100.0,28.3,1,20175262
275,나의 사랑 나의 신부,2014-10-08,1.0,629,16592056305,2135614,4663682705.0,571741,멜로/로맨스,1,1,2014,20.1,0.0,0.0,0,88406.0,653691400.0,21.3,0,20147930
276,굿바이 싱글,2016-06-29,1.0,841,16912706195,2108273,4380827515.0,527830,코미디,1,1,2016,24.0,0.0,1.0,1,122543.0,733983300.0,21.9,0,20150972
277,이클립스,2010-07-07,0.0,535,15192541723,2105050,4906227000.0,648625,판타지,2,1,2010,21.6,0.0,1.0,1,166704.0,1199848500.0,42.7,1,20100361
278,몽타주,2013-05-16,1.0,540,15000722500,2095375,3543306000.0,469536,스릴러,1,1,2013,21.4,0.0,1.0,1,83490.0,568232000.0,23.1,0,20122784
279,명당,2018-09-19,1.0,1117,17900775524,2087474,4530609774.0,518726,사극,2,1,2018,26.8,0.0,0.0,0,108903.0,872730650.0,24.7,0,20172204
280,논스톱,2014-02-27,0.0,582,16066174940,2084457,4940277040.0,611415,액션,1,1,2014,20.1,0.0,1.0,1,115832.0,843053300.0,29.3,0,20147299
281,내부자들: 디 오리지널,2015-12-31,1.0,838,16973885275,2083999,4701340971.0,564863,범죄,0,1,2015,19.9,0.0,1.0,1,159066.0,1228257715.0,17.8,0,20150025
282,쩨쩨한 로맨스,2010-12-01,1.0,463,15901620661,2080574,5725361000.0,716536,코미디,0,1,2010,21.6,0.0,1.0,1,52709.0,386393000.0,30.0,0,20101221
283,장화신은 고양이,2012-01-12,0.0,593,17601188500,2080154,5630702000.0,606226,애니메이션,3,1,2012,20.3,0.0,1.0,1,79382.0,688623000.0,30.8,0,20113862
284,인투 더 스톰,2014-08-28,0.0,585,16155930332,2078492,3815945232.0,472848,액션,2,1,2014,20.1,1.0,0.0,1,97234.0,715548400.0,23.2,0,20149811
285,로건,2017-03-01,0.0,954,17590962723,2070084,5779445923.0,655286,액션,0,1,2017,26.3,1.0,0.0,1,256255.0,2278583500.0,25.7,0,20161827
286,뷰티 인사이드,2015-08-20,1.0,648,16152717131,2053947,5031538031.0,611979,판타지,2,1,2015,19.9,0.0,1.0,1,114401.0,867611000.0,18.9,0,20143572
287,혹성탈출: 종의 전쟁,2017-08-15,0.0,1017,16851234778,2050909,4721118278.0,538479,액션,2,1,2017,26.3,1.0,0.0,1,568300.0,4728549700.0,29.5,1,20179901
288,봉이 김선달,2016-07-06,1.0,942,16172133642,2044564,3545320462.0,432216,사극,2,1,2016,24.0,0.0,1.0,1,136701.0,1023319200.0,33.2,1,20159644
289,노아,2014-03-20,0.0,952,15514083500,2026574,4774266400.0,596745,어드벤처,1,1,2014,20.1,0.0,1.0,1,177380.0,1284593200.0,60.3,0,20133602
290,레버넌트: 죽음에서 돌아온 자,2016-01-14,0.0,967,16107288130,2007180,5111304509.0,613536,어드벤처,1,1,2016,24.0,1.0,0.0,1,124146.0,942932000.0,31.6,1,20154001
291,페르시아의 왕자: 시간의 모래,2010-05-27,0.0,570,14717552534,2003533,4744931500.0,613211,액션,2,1,2010,21.6,1.0,0.0,1,84109.0,600672500.0,37.0,1,20100193
292,남자가 사랑할 때,2014-01-22,1.0,531,14510222300,1979311,3441120300.0,448985,멜로/로맨스,1,1,2014,20.1,0.0,1.0,1,98730.0,697196500.0,15.5,0,20137043
293,루시,2014-09-03,0.0,641,16439450039,1971837,5101800739.0,586398,액션,0,1,2014,20.1,1.0,0.0,1,143617.0,1120414900.0,23.9,0,20135656
294,협상,2018-09-19,1.0,919,17032133166,1967721,3777056966.0,424008,범죄,1,1,2018,26.8,0.0,1.0,1,81031.0,646188400.0,18.3,0,20177308
295,알리타: 배틀 엔젤,2019-02-05,0.0,1043,18527661667,1949372,5508845197.0,540123,액션,2,1,2019,29.0,1.0,0.0,1,264263.0,2662761200.0,16.9,0,20188282
296,애나벨 : 인형의 주인,2017-08-10,0.0,1006,15526858738,1934192,3970570338.0,472569,공포(호러),1,1,2017,26.3,1.0,0.0,1,154719.0,1145172900.0,16.5,0,20161081
297,컨저링 2,2016-06-09,0.0,635,15737956229,1926201,3866716509.0,453800,공포(호러),1,1,2016,24.0,1.0,0.0,1,73335.0,565533720.0,16.0,0,20162941
298,터보,2013-07-25,0.0,634,13113579000,1923748,2894499000.0,398526,애니메이션,3,1,2013,21.4,0.0,1.0,1,63108.0,419327500.0,13.0,1,20137549
299,내안의 그놈,2019-01-09,1.0,1041,16293580567,1901684,3159829257.0,357691,판타지,1,1,2019,29.0,0.0,0.0,0,85238.0,688757700.0,22.7,1,20176251
300,수어사이드 스쿼드,2016-08-03,0.0,823,15873106188,1898121,4616155428.0,521174,액션,1,1,2016,24.0,1.0,0.0,1,397666.0,3166550200.0,26.7,0,20152963
